time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
0.00,787rb,0.00297,0.05000,1
0.00,79xf6,0.00211,0.05000,1
0.00,7wjxh,0.00258,0.05000,1
0.00,nkrrr,0.00218,0.05000,1
0.00,tskjt,0.00281,0.05000,1
0.00,xsc9d,0.00226,0.05000,1
0.00,zjflw,0.00229,0.05000,1
0.25,787rb,0.00297,0.05000,1
0.25,79xf6,0.00211,0.05000,1
0.25,7wjxh,0.00258,0.05000,1
0.25,nkrrr,0.00218,0.05000,1
0.25,tskjt,0.00281,0.05000,1
0.25,xsc9d,0.00226,0.05000,1
0.25,zjflw,0.00229,0.05000,1
0.50,787rb,0.00297,0.05000,1
0.50,79xf6,0.00211,0.05000,1
0.50,7wjxh,0.00258,0.05000,1
0.50,nkrrr,0.00218,0.05000,1
0.50,tskjt,0.00281,0.05000,1
0.50,xsc9d,0.00226,0.05000,1
0.50,zjflw,0.00229,0.05000,1
0.75,787rb,0.00297,0.05000,1
0.75,79xf6,0.00211,0.05000,1
0.75,7wjxh,0.00258,0.05000,1
0.75,nkrrr,0.00218,0.05000,1
0.75,tskjt,0.00281,0.05000,1
0.75,xsc9d,0.00226,0.05000,1
0.75,zjflw,0.00229,0.05000,1
1.00,787rb,0.00297,0.05000,1
1.00,79xf6,0.00211,0.05000,1
1.00,7wjxh,0.00258,0.05000,1
1.00,nkrrr,0.00218,0.05000,1
1.00,tskjt,0.00281,0.05000,1
1.00,xsc9d,0.00226,0.05000,1
1.00,zjflw,0.00229,0.05000,1
1.25,787rb,0.00297,0.05000,1
1.25,79xf6,0.00211,0.05000,1
1.25,7wjxh,0.00258,0.05000,1
1.25,nkrrr,0.00218,0.05000,1
1.25,tskjt,0.00281,0.05000,1
1.25,xsc9d,0.00226,0.05000,1
1.25,zjflw,0.00229,0.05000,1
1.50,787rb,0.00297,0.05000,1
1.50,79xf6,0.00211,0.05000,1
1.50,7wjxh,0.00258,0.05000,1
1.50,nkrrr,0.00218,0.05000,1
1.50,tskjt,0.00281,0.05000,1
1.50,xsc9d,0.00226,0.05000,1
1.50,zjflw,0.00229,0.05000,1
1.75,787rb,0.00297,0.05000,1
1.75,79xf6,0.00211,0.05000,1
1.75,7wjxh,0.00258,0.05000,1
1.75,nkrrr,0.00218,0.05000,1
1.75,tskjt,0.00281,0.05000,1
1.75,xsc9d,0.00226,0.05000,1
1.75,zjflw,0.00229,0.05000,1
2.00,787rb,0.00297,0.05000,1
2.00,79xf6,0.00211,0.05000,1
2.00,7wjxh,0.00258,0.05000,1
2.00,nkrrr,0.00218,0.05000,1
2.00,tskjt,0.00281,0.05000,1
2.00,xsc9d,0.00226,0.05000,1
2.00,zjflw,0.00229,0.05000,1
2.25,787rb,0.00297,0.05000,1
2.25,79xf6,0.00211,0.05000,1
2.25,7wjxh,0.00258,0.05000,1
2.25,nkrrr,0.00218,0.05000,1
2.25,tskjt,0.00281,0.05000,1
2.25,xsc9d,0.00226,0.05000,1
2.25,zjflw,0.00229,0.05000,1
2.50,787rb,0.00297,0.05000,1
2.50,79xf6,0.00211,0.05000,1
2.50,7wjxh,0.00258,0.05000,1
2.50,nkrrr,0.00218,0.05000,1
2.50,tskjt,0.00281,0.05000,1
2.50,xsc9d,0.00226,0.05000,1
