time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
0.00,2rq8p,0.00356,0.12500,0
0.00,7jgfk,0.00228,0.12500,0
0.00,8rcmm,0.00289,0.12500,0
0.00,c5km5,0.00266,0.12500,0
0.00,d9zpf,0.00383,0.12500,0
0.00,l4lxv,0.00236,0.12500,0
0.00,lnrpz,0.00221,0.12500,0
0.00,mhzzs,0.00229,0.12500,0
0.00,mw69c,0.00360,0.12500,0
0.00,synt10,0.00240,0.12500,0
0.00,synt11,0.00284,0.12500,0
0.00,synt12,0.00288,0.12500,0
0.00,synt13,0.00368,0.12500,0
0.00,synt14,0.00388,0.12500,0
0.00,synt15,0.00377,0.12500,0
0.00,synt16,0.00242,0.12500,0
0.00,synt17,0.00308,0.12500,0
0.00,synt18,0.00344,0.12500,0
0.00,synt19,0.00343,0.12500,0
0.00,synt20,0.00315,0.12500,0
0.00,synt21,0.00312,0.12500,0
0.00,synt22,0.00283,0.12500,0
0.00,synt23,0.00370,0.12500,0
0.00,synt24,0.00235,0.12500,0
0.00,synt25,0.00359,0.12500,0
0.00,synt26,0.00378,0.12500,0
0.00,synt27,0.00259,0.12500,0
0.00,synt28,0.00283,0.12500,0
0.00,synt29,0.00280,0.12500,0
0.25,2rq8p,0.00356,0.12500,0
0.25,7jgfk,0.00228,0.12500,0
0.25,8rcmm,0.00289,0.12500,0
0.25,c5km5,0.00266,0.12500,0
0.25,d9zpf,0.00383,0.12500,0
0.25,l4lxv,0.00236,0.12500,0
0.25,lnrpz,0.00221,0.12500,0
0.25,mhzzs,0.00229,0.12500,0
0.25,mw69c,0.00360,0.12500,0
0.25,synt10,0.00240,0.12500,0
0.25,synt11,0.00284,0.12500,0
0.25,synt12,0.00288,0.12500,0
0.25,synt13,0.00368,0.12500,0
0.25,synt14,0.00388,0.12500,0
0.25,synt15,0.00377,0.12500,0
0.25,synt16,0.00242,0.12500,0
0.25,synt17,0.00308,0.12500,0
0.25,synt18,0.00344,0.12500,0
0.25,synt19,0.00343,0.12500,0
0.25,synt20,0.00315,0.12500,0
0.25,synt21,0.00312,0.12500,0
0.25,synt22,0.00283,0.12500,0
0.25,synt23,0.00370,0.12500,0
0.25,synt24,0.00235,0.12500,0
0.25,synt25,0.00359,0.12500,0
0.25,synt26,0.00378,0.12500,0
0.25,synt27,0.00259,0.12500,0
0.25,synt28,0.00283,0.12500,0
0.25,synt29,0.00280,0.12500,0
0.50,2rq8p,0.00356,0.12500,1
0.50,7jgfk,0.00228,0.12500,1
0.50,8rcmm,0.00289,0.12500,1
0.50,c5km5,0.00266,0.12500,1
0.50,d9zpf,0.00383,0.12500,1
0.50,l4lxv,0.00236,0.12500,1
0.50,lnrpz,0.00221,0.12500,1
0.50,mhzzs,0.00229,0.12500,1
0.50,mw69c,0.00360,0.12500,1
0.50,synt10,0.00240,0.12500,1
0.50,synt11,0.00284,0.12500,1
0.50,synt12,0.00288,0.12500,1
0.50,synt13,0.00368,0.12500,1
0.50,synt14,0.00388,0.12500,1
0.50,synt15,0.00377,0.12500,1
0.50,synt16,0.00242,0.12500,1
0.50,synt17,0.00308,0.12500,1
0.50,synt18,0.00344,0.12500,1
0.50,synt19,0.00343,0.12500,1
0.50,synt20,0.00315,0.12500,1
0.50,synt21,0.00312,0.12500,1
0.50,synt22,0.00283,0.12500,1
0.50,synt23,0.00370,0.12500,1
0.50,synt24,0.00235,0.12500,1
0.50,synt25,0.00359,0.12500,1
0.50,synt26,0.00378,0.12500,1
0.50,synt27,0.00259,0.12500,1
0.50,synt28,0.00283,0.12500,1
0.50,synt29,0.00280,0.12500,1
0.75,2rq8p,0.00356,0.12500,1
0.75,7jgfk,0.00228,0.12500,1
0.75,8rcmm,0.00289,0.12500,1
0.75,c5km5,0.00266,0.12500,1
0.75,d9zpf,0.00383,0.12500,1
0.75,l4lxv,0.00236,0.12500,1
0.75,lnrpz,0.00221,0.12500,1
0.75,mhzzs,0.00229,0.12500,1
0.75,mw69c,0.00360,0.12500,1
0.75,synt10,0.00240,0.12500,1
0.75,synt11,0.00284,0.12500,1
0.75,synt12,0.00288,0.12500,1
0.75,synt13,0.00368,0.12500,1
0.75,synt14,0.00388,0.12500,1
0.75,synt15,0.00377,0.12500,1
0.75,synt16,0.00242,0.12500,1
0.75,synt17,0.00308,0.12500,1
0.75,synt18,0.00344,0.12500,1
0.75,synt19,0.00343,0.12500,1
0.75,synt20,0.00315,0.12500,1
0.75,synt21,0.00312,0.12500,1
0.75,synt22,0.00283,0.12500,1
0.75,synt23,0.00370,0.12500,1
0.75,synt24,0.00235,0.12500,1
0.75,synt25,0.00359,0.12500,1
0.75,synt26,0.00378,0.12500,1
0.75,synt27,0.00259,0.12500,1
0.75,synt28,0.00283,0.12500,1
0.75,synt29,0.00280,0.12500,1
1.00,2rq8p,0.00356,0.12500,1
1.00,7jgfk,0.00228,0.12500,1
1.00,8rcmm,0.00289,0.12500,1
1.00,c5km5,0.00266,0.12500,1
1.00,d9zpf,0.00383,0.12500,1
1.00,l4lxv,0.00236,0.12500,1
1.00,lnrpz,0.00221,0.12500,1
1.00,mhzzs,0.00229,0.12500,1
1.00,mw69c,0.00360,0.12500,1
1.00,synt10,0.00240,0.12500,1
1.00,synt11,0.00284,0.12500,1
1.00,synt12,0.00288,0.12500,1
1.00,synt13,0.00368,0.12500,1
1.00,synt14,0.00388,0.12500,1
1.00,synt15,0.00377,0.12500,1
1.00,synt16,0.00242,0.12500,1
1.00,synt17,0.00308,0.12500,1
1.00,synt18,0.00344,0.12500,1
1.00,synt19,0.00343,0.12500,1
1.00,synt20,0.00315,0.12500,1
1.00,synt21,0.00312,0.12500,1
1.00,synt22,0.00283,0.12500,1
1.00,synt23,0.00370,0.12500,1
1.00,synt24,0.00235,0.12500,1
1.00,synt25,0.00359,0.12500,1
1.00,synt26,0.00378,0.12500,1
1.00,synt27,0.00259,0.12500,1
1.00,synt28,0.00283,0.12500,1
1.00,synt29,0.00280,0.12500,1
1.25,2rq8p,0.10534,0.12500,1
1.25,7jgfk,0.09837,0.12500,1
1.25,8rcmm,0.03808,0.12500,1
1.25,c5km5,0.01061,0.12500,1
1.25,d9zpf,0.00383,0.12500,1
1.25,l4lxv,0.00236,0.12500,1
1.25,lnrpz,0.00221,0.12500,1
1.25,mhzzs,0.00229,0.12500,1
1.25,mw69c,0.00360,0.12500,1
1.25,synt10,0.00240,0.12500,1
1.25,synt11,0.00284,0.12500,1
1.25,synt12,0.00288,0.12500,1
1.25,synt13,0.00368,0.12500,1
1.25,synt14,0.00388,0.12500,1
1.25,synt15,0.00377,0.12500,1
1.25,synt16,0.00242,0.12500,1
1.25,synt17,0.00308,0.12500,1
1.25,synt18,0.00344,0.12500,1
1.25,synt19,0.00343,0.12500,1
1.25,synt20,0.00315,0.12500,1
1.25,synt21,0.00312,0.12500,1
1.25,synt22,0.00283,0.12500,1
1.25,synt23,0.00370,0.12500,1
1.25,synt24,0.00235,0.12500,1
1.25,synt25,0.00359,0.12500,1
1.25,synt26,0.00378,0.12500,1
1.25,synt27,0.00259,0.12500,1
1.25,synt28,0.00283,0.12500,1
1.25,synt29,0.00280,0.12500,1
1.50,2rq8p,0.27908,0.12500,3
1.50,7jgfk,0.29090,0.12500,3
1.50,8rcmm,0.24089,0.12500,3
1.50,c5km5,0.36360,0.12500,3
1.50,d9zpf,0.15988,0.12500,3
1.50,l4lxv,0.13003,0.12500,3
1.50,lnrpz,0.05522,0.12500,3
1.50,mhzzs,0.01933,0.12500,3
1.50,mw69c,0.00648,0.12500,3
1.50,synt10,0.00240,0.12500,3
1.50,synt11,0.00284,0.12500,3
1.50,synt12,0.00288,0.12500,3
1.50,synt13,0.00368,0.12500,3
1.50,synt14,0.00388,0.12500,3
1.50,synt15,0.00377,0.12500,3
1.50,synt16,0.00242,0.12500,3
1.50,synt17,0.00308,0.12500,3
1.50,synt18,0.00344,0.12500,3
1.50,synt19,0.00343,0.12500,3
1.50,synt20,0.00315,0.12500,3
1.50,synt21,0.00312,0.12500,3
1.50,synt22,0.00283,0.12500,3
1.50,synt23,0.00370,0.12500,3
1.50,synt24,0.00235,0.12500,3
1.50,synt25,0.00359,0.12500,3
1.50,synt26,0.00378,0.12500,3
1.50,synt27,0.00259,0.12500,3
1.50,synt28,0.00283,0.12500,3
1.50,synt29,0.00280,0.12500,3
1.75,2rq8p,0.28388,0.12500,3
1.75,7jgfk,0.28267,0.12500,3
1.75,8rcmm,0.30178,0.12500,3
1.75,c5km5,0.52374,0.12500,3
1.75,d9zpf,0.28549,0.12500,3
1.75,l4lxv,0.28144,0.12500,3
1.75,lnrpz,0.26324,0.12500,3
1.75,mhzzs,0.33429,0.12500,3
1.75,mw69c,0.23211,0.12500,3
1.75,synt10,0.13465,0.12500,3
1.75,synt11,0.06296,0.12500,3
1.75,synt12,0.01229,0.12500,3
1.75,synt13,0.00368,0.12500,3
1.75,synt14,0.00388,0.12500,3
1.75,synt15,0.00377,0.12500,3
1.75,synt16,0.00242,0.12500,3
1.75,synt17,0.00308,0.12500,3
1.75,synt18,0.00344,0.12500,3
1.75,synt19,0.00343,0.12500,3
1.75,synt20,0.00315,0.12500,3
1.75,synt21,0.00312,0.12500,3
1.75,synt22,0.00283,0.12500,3
1.75,synt23,0.00370,0.12500,3
1.75,synt24,0.00235,0.12500,3
1.75,synt25,0.00359,0.12500,3
1.75,synt26,0.00378,0.12500,3
1.75,synt27,0.00259,0.12500,3
1.75,synt28,0.00283,0.12500,3
1.75,synt29,0.00280,0.12500,3
2.00,2rq8p,0.25652,0.12500,14
2.00,7jgfk,0.28060,0.12500,14
2.00,8rcmm,0.27429,0.12500,14
2.00,c5km5,0.28956,0.12500,14
2.00,d9zpf,0.25375,0.12500,14
2.00,l4lxv,0.22097,0.12500,14
2.00,lnrpz,0.26880,0.12500,14
2.00,mhzzs,0.35704,0.12500,14
2.00,mw69c,0.42887,0.12500,14
2.00,synt10,0.33160,0.12500,14
2.00,synt11,0.26908,0.12500,14
2.00,synt12,0.22482,0.12500,14
2.00,synt13,0.18048,0.12500,14
2.00,synt14,0.14924,0.12500,14
2.00,synt15,0.10323,0.12500,14
2.00,synt16,0.10199,0.12500,14
2.00,synt17,0.02440,0.12500,14
2.00,synt18,0.00344,0.12500,14
2.00,synt19,0.00343,0.12500,14
2.00,synt20,0.00315,0.12500,14
2.00,synt21,0.00312,0.12500,14
2.00,synt22,0.00283,0.12500,14
2.00,synt23,0.00370,0.12500,14
2.00,synt24,0.00235,0.12500,14
2.00,synt25,0.00359,0.12500,14
2.00,synt26,0.00378,0.12500,14
2.00,synt27,0.00259,0.12500,14
2.00,synt28,0.00283,0.12500,14
2.00,synt29,0.00280,0.12500,14
2.25,2rq8p,0.26226,0.12500,14
2.25,7jgfk,0.28684,0.12500,14
2.25,8rcmm,0.27035,0.12500,14
2.25,c5km5,0.25645,0.12500,14
2.25,d9zpf,0.24997,0.12500,14
2.25,l4lxv,0.22585,0.12500,14
2.25,lnrpz,0.23247,0.12500,14
2.25,mhzzs,0.25431,0.12500,14
2.25,mw69c,0.33910,0.12500,14
2.25,synt10,0.29531,0.12500,14
2.25,synt11,0.26377,0.12500,14
2.25,synt12,0.29608,0.12500,14
2.25,synt13,0.32017,0.12500,14
2.25,synt14,0.27570,0.12500,14
2.25,synt15,0.34385,0.12500,14
2.25,synt16,0.30278,0.12500,14
2.25,synt17,0.24982,0.12500,14
2.25,synt18,0.12529,0.12500,14
2.25,synt19,0.13351,0.12500,14
2.25,synt20,0.04283,0.12500,14
2.25,synt21,0.02470,0.12500,14
2.25,synt22,0.05802,0.12500,14
2.25,synt23,0.07532,0.12500,14
2.25,synt24,0.01234,0.12500,14
2.25,synt25,0.06019,0.12500,14
2.25,synt26,0.05073,0.12500,14
2.25,synt27,0.03862,0.12500,14
2.25,synt28,0.06658,0.12500,14
2.25,synt29,0.03330,0.12500,14
2.50,2rq8p,0.25981,0.12500,21
2.50,7jgfk,0.28434,0.12500,21
2.50,8rcmm,0.26342,0.12500,21
2.50,c5km5,0.24477,0.12500,21
2.50,d9zpf,0.25837,0.12500,21
2.50,l4lxv,0.23983,0.12500,21
2.50,lnrpz,0.23929,0.12500,21
2.50,mhzzs,0.24062,0.12500,21
2.50,mw69c,0.26640,0.12500,21
2.50,synt10,0.25521,0.12500,21
2.50,synt11,0.21805,0.12500,21
2.50,synt12,0.26365,0.12500,21
2.50,synt13,0.30502,0.12500,21
2.50,synt14,0.27453,0.12500,21
2.50,synt15,0.31210,0.12500,21
2.50,synt16,0.23862,0.12500,21
2.50,synt17,0.28909,0.12500,21
2.50,synt18,0.25368,0.12500,21
2.50,synt19,0.28122,0.12500,21
2.50,synt20,0.25792,0.12500,21
2.50,synt21,0.26391,0.12500,21
2.50,synt22,0.28532,0.12500,21
2.50,synt23,0.30015,0.12500,21
2.50,synt24,0.18285,0.12500,21
2.50,synt25,0.25222,0.12500,21
2.50,synt26,0.27026,0.12500,21
2.50,synt27,0.23033,0.12500,21
2.50,synt28,0.29753,0.12500,21
2.50,synt29,0.23553,0.12500,21
2.75,2rq8p,0.24733,0.12500,21
2.75,7jgfk,0.27384,0.12500,21
2.75,8rcmm,0.25187,0.12500,21
2.75,c5km5,0.23449,0.12500,21
2.75,d9zpf,0.27233,0.12500,21
2.75,l4lxv,0.24750,0.12500,21
2.75,lnrpz,0.24121,0.12500,21
2.75,mhzzs,0.22650,0.12500,21
2.75,mw69c,0.25641,0.12500,21
2.75,synt10,0.24454,0.12500,21
2.75,synt11,0.21192,0.12500,21
2.75,synt12,0.27154,0.12500,21
2.75,synt13,0.29592,0.12500,21
2.75,synt14,0.26391,0.12500,21
2.75,synt15,0.24398,0.12500,21
